"i","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
2,0.033059739956579,0.436785571708332,0.00615239368248423,0.00615239368248423,0.0140357285080865,0.41230039145848,-0.0110978358332015,-0.0110978358332015,0.0615180743191833,0.459872237804941,0.0356686471662285,0.0356686471662285
5,0.00385904934496614,0.518400221811156,0.00358320256145137,0.00358320256145137,-0.0226081436994171,0.491428103010212,-0.0240995223103745,-0.0240995223103745,0.0240543063764031,0.541071775662352,0.0241280478968422,0.0241280478968422
10,0.0191968288079571,0.182058389632564,0.00249066273985953,0.00249066273985953,-0.00685381567040235,0.153252923365272,-0.0223396712047548,-0.0223396712047548,0.0488659547445256,0.217055281885165,0.0303243004352878,0.0303243004352878
20,0.064039201144741,0.138276839856278,0.00348108891087001,0.00348108891087001,0.0382520925539436,0.112070163902715,-0.0169963134010162,-0.0169963134010162,0.0932974359379321,0.172116774630743,0.0269718672999861,0.0269718672999861
30,0.054864966067195,0.22822366740561,0.00539355410383221,0.00539355410383221,0.028739351637766,0.199817224032041,-0.0147525824153073,-0.0147525824153073,0.0811377407182459,0.254146649089794,0.0274940634996755,0.0274940634996755
38,0.0981778800926454,0.424362101848103,0.00880253986289144,0.00880253986289144,0.0755976069758342,0.395068867343962,-0.0117870872419305,-0.0117870872419305,0.115394676848718,0.451343530267293,0.0297414306913052,0.0297414306913052
