"i","V2","V3","V4","V5","V6","V7"
2,0.239897766624215,0.151750965412459,0.210301157530425,0.124358226850364,0.273293575330179,0.18186141889467
5,0.369075343691576,0.0643119264993951,0.341755852567632,0.0223438681088547,0.391663698633245,0.0908810591823965
10,0.283924306357963,0.0824271161521436,0.260857810348923,0.050123088717111,0.307133927092941,0.110218480085119
20,0.0925045083934654,0.0756187710993345,0.0698007228442996,0.0445200223560861,0.142411337674415,0.114361191341956
30,0.00219230650892497,0.137222208380418,-0.0242883960990238,0.0986077444558053,0.0451856167232816,0.184365445455957
38,0.0801036248095705,0.259166640433395,0.0566899711515518,0.233775315159231,0.106494984973187,0.28518458531577
