"i","V2","V3","V4","V5"
2,0.114310384089254,0.953554611051542,0.000200000463975281,0.000200000463975281
5,0.000442709163574584,0.973853917758025,0.000199999854523791,0.000199999854523791
10,0.0988296675818379,0.865659771096004,0.000200000440219505,0.000200000440219505
20,0.451168378351802,0.542301817510817,0.000199996105735623,0.000199996105735623
30,0.217825550328786,0.74694280023077,0.000199997175665323,0.000199997175665323
38,0.377648088967298,0.736316836006079,0.000200001304715314,0.000200001304715314
