"i","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
2,0.883567443742445,0.997964733012218,0.882292434757364,0.882292434757364,0.855541451401894,0.971292398840809,0.854871584509659,0.854871584509659,0.90588067703029,1.02113452445745,0.902251912088426,0.902251912088426
5,0.853402546654387,0.965324812161696,0.797785297465339,0.797785297465339,0.804952319101288,0.929763971922746,0.74953580567679,0.74953580567679,0.893232311579003,1.01153348929454,0.840453955606323,0.840453955606323
10,0.75795777774758,0.988911045733306,0.735625070974178,0.735625070974178,0.714901076422609,0.94034978345934,0.689956690967542,0.689956690967542,0.8009258486629,1.02497337955609,0.773883075619893,0.773883075619893
20,0.630695923952031,0.971624391394149,0.59512021017092,0.59512021017092,0.585434362730648,0.935178697279614,0.547136481617245,0.547136481617245,0.662393735046455,1.00140049755792,0.627934412274311,0.627934412274311
30,0.476481592824093,1.01649166644388,0.467210111806949,0.467210111806949,0.412620251248198,0.97064199289136,0.407379879291787,0.407379879291787,0.509990542451187,1.04824128243543,0.501863077930854,0.501863077930854
38,0.749550055497075,1.00078233315695,0.734338546768625,0.734338546768625,0.709002673644097,0.948852681708898,0.69498401380407,0.69498401380407,0.780947255088482,1.04224512320526,0.766692429496834,0.766692429496834
