"i","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
2,0.0733491398010173,0.0496171054898741,0.00147342796432923,0.00147342796432923,0.0457661713956826,0.0284139661344579,-0.0215829356567655,-0.0215829356567655,0.0998900986132315,0.0731088843808664,0.0226662167375627,0.0226662167375627
5,0.0130380647196357,0.286923696256381,0.00302437732607312,0.00302437732607312,-0.0136396992142238,0.2644119721122,-0.024588625572565,-0.024588625572565,0.0402207820640411,0.310135408873328,0.026776411053974,0.026776411053974
10,0.0181502865284292,0.284985915953517,0.00298328490680151,0.00298328490680151,-0.00888815633661933,0.259866409514988,-0.0245936628612187,-0.0245936628612187,0.0408799558031658,0.307552880003673,0.0237979561614197,0.0237979561614197
20,0.0142788683943348,0.399704905488973,0.00357807452363443,0.00357807452363443,-0.0136897838102913,0.370751862336157,-0.023511840234525,-0.023511840234525,0.0370998801568632,0.420998753273176,0.0255803516074836,0.0255803516074836
30,0.00592834919864998,0.453562589419224,0.00428364957011043,0.00428364957011043,-0.0212435686912966,0.42495035449758,-0.022864460495579,-0.022864460495579,0.0283445808035876,0.477652306555815,0.026780831247362,0.026780831247362
38,0.00598454853011895,0.366343421965587,0.00376582046121547,0.00376582046121547,-0.0216562346996519,0.335328877090514,-0.0235863358214649,-0.0235863358214649,0.0274249978192855,0.3945405654509,0.0283377602430326,0.0283377602430326
