"i","V2","V3","V4","V5"
2,0.854147553833315,0.088222799580287,-0.00405192942879333,-0.00405192942879333
5,0.0338596635907298,0.949465459792906,-0.0112097581544525,-0.0112097581544525
10,0.0615964109323725,0.925952001169658,-0.00953096986648286,-0.00953096986648286
20,0.0620238730649651,0.922585346274704,-0.00927917430632775,-0.00927917430632775
30,0.0670570329666682,0.879015570532877,-0.00922618379402847,-0.00922618379402847
38,0.226591958102998,0.713536569009581,-0.00512963197425923,-0.00512963197425923
