"i","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
2,0.948403145219018,0.925853170789568,0.878639420578669,0.878639420578669,0.882939401745774,0.864349539395877,0.815626889926594,0.815626889926594,0.985990569719701,0.97320186995351,0.924848895271382,0.924848895271382
5,0.7138509110085,0.987762773756292,0.699578557707224,0.699578557707224,0.680988433252361,0.962822558859183,0.663814745103378,0.663814745103378,0.748968832823232,1.0204059860224,0.737806725159273,0.737806725159273
10,0.715313719103509,0.982180183718588,0.696682163439874,0.696682163439874,0.687618944971265,0.956987410728144,0.666384553166433,0.666384553166433,0.743221531106801,1.00898208720478,0.730316397084938,0.730316397084938
20,0.600779746615007,0.986288261575573,0.585962319972508,0.585962319972508,0.567935757012093,0.952800491125324,0.549248477674534,0.549248477674534,0.633312029607239,1.01232275577242,0.625494330499516,0.625494330499516
30,0.546017153701993,0.994822283205026,0.540917144464721,0.540917144464721,0.510196473503858,0.960637225363076,0.498764595357322,0.498764595357322,0.582106108891922,1.0213920907391,0.581486549031778,0.581486549031778
38,0.632658490029757,0.995942817626784,0.62270369088768,0.62270369088768,0.593217593598267,0.959488341805411,0.574053113579901,0.574053113579901,0.668287706887476,1.02359447012233,0.667025518351138,0.667025518351138
