"i","V2","V3"
2,0.434926176951965,0.506971904157396
5,0.474597242042381,0.365004549146517
10,0.418472182769566,0.256072985699888
20,0.69265332579693,0.1159152216116
30,0.369800297270998,0.639119437061395
38,0.307557949277017,0.705551607989158
