"i","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
2,0.125198077488443,0.0107831298818937,0.000277713258030626,0.000277713258030626,0.0960013804830072,-0.0226161428457887,-0.0286399374341503,-0.0286399374341503,0.153287385353135,0.0356711325087209,0.0220114936726475,0.0220114936726475
5,0.0320637541072848,0.655083172811561,0.00514410125745979,0.00514410125745979,0.0144266510623272,0.633658208735689,-0.0111348037057293,-0.0111348037057293,0.0509835039897582,0.672554044778074,0.0186072865253523,0.0186072865253523
10,0.0117202722697665,0.212891566401774,-0.00117387903662668,-0.00117387903662668,-0.0102219052297382,0.17803693746901,-0.023782639782945,-0.023782639782945,0.0437030638309668,0.249848063627139,0.0304066787140175,0.0304066787140175
20,0.0241369024392536,0.367053679825805,-0.00112808617958114,-0.00112808617958114,0.00496841608006073,0.33446345656328,-0.0200743711633844,-0.0200743711633844,0.0507242953686216,0.401959611841,0.0260530333055007,0.0260530333055007
30,0.0338919981808026,0.465035514043122,-0.00120052597046193,-0.00120052597046193,0.0164371655711904,0.436998947545781,-0.0198657362284161,-0.0198657362284161,0.0566849059423718,0.497162157848907,0.020517110783979,0.020517110783979
38,0.0941508762214882,0.388830640145288,-0.00958079832083432,-0.00958079832083432,0.0672862172749695,0.360216519453508,-0.0284936987470877,-0.0284936987470877,0.118237244685619,0.416359388729717,0.0119085270483652,0.0119085270483652
