"i","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34"
100,0.424696794970877,0.018149902883448,0.159180647342317,0.000500001285075586,0.000499988614286075,0.0242742589860278,0.724348467746619,0.0167365298416205,0.00662904672165393,0.000500000279550794,0.00219045602874241,0.274309746516012,0.00727425142938545,0.0961142401824145,0.000499940507946184,0.000498335487169738,0.00579111793951371,0.453706974797407,0.00586529487684939,0.00151798779654714,0.000499991897910385,-0.000291531468482336,0.616761610811614,0.0371081457937512,0.26166003860322,0.00050005828102751,0.00050178578360271,0.0479822402047183,0.882986721564551,0.0334769398007537,0.0135785218557581,0.000500009433025114,0.0052510182403377
250,0.72106902762203,0.00213659501749347,0.182135104630566,0.000522425744976196,0.000509527617621149,0.211986660984039,0.00412048616612481,0.000502562380527338,0.000517874396828114,0.0212988467660754,0.00201160023763386,0.584162791364348,-0.00158539581291484,0.109906224302558,0.000264380635945574,0.000203732325597256,0.111169700905239,-0.00228885420686802,0.000260951738243934,0.000325475280964366,0.00893574282668899,-0.000782432731178955,0.834540158123313,0.00573976463665812,0.25861354660998,0.00082240492375144,0.000781620644708816,0.306395004316026,0.0123165698552512,0.000653554155564712,0.000741018258443682,0.039095320261928,0.00486255457223121
500,0.757594266959515,0.00381164111959976,0.158228898618104,0.00385683272821153,0.000499897975931507,0.209982005341551,-0.000391512347221423,0.000499954928694339,0.0071514098457876,0.00050006534334593,0.000500003209601241,0.661255777606724,-0.00207448708425412,0.125004859572821,-0.00196798998929129,0.000497764175182786,0.12813299097006,-0.00332619640400383,0.00049785754372835,0.00180907015589107,0.000492554340960141,0.000499934717452763,0.827403700962327,0.00911874353350267,0.189701399235652,0.0100470234685598,0.000501449921226571,0.296887729856056,0.0029456013272684,0.000502452346819493,0.0152462650065419,0.000508724783114567,0.000500074415331214
750,0.767240872503375,0.00378914207606825,0.153158071118717,0.000499058567384507,0.000499801138419358,0.172399409121724,-0.000266705237128801,0.00699722735388962,0.0117380272092223,0.000706459076847365,0.000500015062923285,0.690671008686223,-0.00315724870862176,0.121157808353699,0.000470355004419612,0.000488590677826783,0.110765259206917,-0.00361957533099554,0.00262408597431938,0.00514477955826844,-0.0016439770050424,0.000499143818696857,0.832425356608057,0.00996920144854553,0.192194780382071,0.000530616192758065,0.000511079491918387,0.24720457603572,0.00278750402419081,0.0120221567466197,0.018579589164918,0.00274400018561948,0.000500738175802989
1000,0.628328090595598,0.0109086622813596,0.175427341554648,0.00795377345607179,0.172070350967085,0.364635507236684,0.0004810374283593,0.00810983030825796,0.0215566394641359,0.0114355833715831,0.000499999649503474,0.517967076121272,0.00344048909578809,0.126268120205289,0.00207579597447973,0.107934995510194,0.257524559105352,-0.000258086742321595,0.000702306460965722,0.0111371048553038,0.00257933826891283,0.000499995569064152,0.720119109210273,0.01943111431274,0.2364953432321,0.014274090375379,0.249049313476312,0.460030636332715,0.00127084818430286,0.0160555151934733,0.0322437993982812,0.0200422768324749,0.000500003685871131
