"i","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34"
100,0.448675584613642,0.00381813625073948,0.0622183503455229,0.00395888687003956,0.00395926066244763,0.0297223783319095,0.00395922670950228,0.00395744558177889,0.00395730353198205,0.00395913296154033,0.00395764600773075,0.299121105776167,-0.0155385555933233,0.000774551113538018,-0.0159295478474534,-0.0159293202561141,-0.00308694107631562,-0.0159316386399399,-0.0159602856110544,-0.0159633954339222,-0.0159296103438514,-0.0159620159047453,0.606913047936627,0.0245924782689648,0.129713812288237,0.0225838952065041,0.0225887359219697,0.0771751120130768,0.0225832291919596,0.0225796507709978,0.0225846015637763,0.0225833596044763,0.0225847324884876
250,0.0643974833887835,-0.00580017321225632,0.00760038029818402,-0.00748480083448151,-0.00748480083448151,-0.00736226505434568,-0.00759642860920276,-0.00759623842402938,0.126108160695308,0.0719773127878594,-0.00746990096837962,0.00942895049268005,-0.0325744657595198,-0.0207853136250441,-0.0371500270777348,-0.0371500270777348,-0.0366750010170305,-0.0335401617148299,-0.0335408328314086,0.0452051976690702,0.00369926363121843,-0.0342389760209129,0.125077842048659,0.0216299349314106,0.0539985967778272,0.0181668176629843,0.0181668176629843,0.0185614754636515,0.0179418798045699,0.0179397778815645,0.20743038355147,0.13392798816835,0.0178486810734486
500,0.143146324422494,0.0046509629918048,0.0221014936093232,0.00122165087560159,-0.00106089044869355,0.11791149030902,0.000452249074168917,0.000452565667498017,0.000452563757857504,-0.000738439199697416,-0.000404498236964401,0.0862333113302239,-0.0245976262989136,-0.00407501382304425,-0.029169755597212,-0.0258704040048452,0.0639710035423174,-0.0263134104529965,-0.0263119245884862,-0.026311909313903,-0.0279917089564444,-0.024310047356741,0.203534586116873,0.0322188656580793,0.0583678533549095,0.0248515378614982,0.0174975803556291,0.178729044104396,0.0236721473455117,0.0236736262443825,0.0236737190355324,0.018679314226277,0.0221489893252163
750,0.214109655952695,-0.001348996304196,0.0149263758550686,0.0142315202813729,-0.001348996304196,-0.00148812541886742,0.000347265054107185,0.0504039647684955,-0.001348996304196,-0.0013489963041952,-0.00148650971624719,0.139842006744629,-0.0254904901618632,-0.00968268028954052,-0.0156188394631086,-0.0254904901618632,-0.0251808611752967,-0.0231014741465712,0.00934788891484986,-0.0254904901618632,-0.0254904901618617,-0.0251609594974433,0.280802518926961,0.0241775930040741,0.0395258551780752,0.0435241247225784,0.0241775930040741,0.0213967175973592,0.0272670909620256,0.0919602448275437,0.0241775930040741,0.0241775930040655,0.0213875611142727
1000,0.116138516435651,0.116459134014269,0.00224768150785421,-0.00525103136478674,-0.00539951734529781,0.00631160346543211,-0.0063006051620669,-0.00650794377635603,-0.00523662099227926,-0.00630779350290752,-0.0053995377175698,0.0637397939006401,0.065090960333924,-0.0218913782197923,-0.0335470297685973,-0.0312774875486822,-0.019805395494948,-0.0345883165681319,-0.0332727196150674,-0.0335408748984738,-0.0322571936171596,-0.0312776601774035,0.188113889130087,0.169420249959788,0.0277419760293471,0.0176739227803347,0.0233601214408982,0.0348534443809744,0.0249102810053043,0.0213152974672093,0.0174673700758922,0.0194861576541283,0.0233599046281856
