"i","V2","V3","V4","V5","V6","V7"
5,-481.639188124971,-65.2631813993421,-6192.09293770528,-670.982090712317,2392.24083106756,259.330562414318
10,1867.49277474169,2462.71340974575,-18890.3374928695,-86662.9468131595,44820.7388801639,125288.326357808
20,0.398891092027902,0.703152826281059,0.025376618247804,0.135798722745893,1.00681430335668,1.00389196012234
30,0.234373315638539,0.814311588213305,0.0138691385575549,0.34624492850702,0.803371211872133,0.998365358993685
38,0.346457424788241,0.722757061230357,0.0921886683879123,0.397726633704305,0.744315089144926,0.95393959855834
