i,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34
100,0.35031795,0.301186133,0.398421964,0.323914321,0.319976417,0.283558954,0.324911788,0.303121902,0.292799566,0.41048905,0.703413911,0.287474444,0.248973383,0.352977484,0.276506819,0.268425112,0.231148433,0.278775015,0.24607484,0.238188278,0.360612293,0.656044053,0.398936059,0.349003628,0.444707681,0.365476001,0.3666203,0.333550015,0.378438677,0.347434768,0.340379065,0.455783698,0.748282982
250,0.560665281,0.156361778,0.259427158,0.188096047,0.226089601,0.336522014,0.310615438,0.187524818,0.190316389,0.178632265,0.179979805,0.523229943,0.117218373,0.222360834,0.147605173,0.18071171,0.296870861,0.272425702,0.150651572,0.15046006,0.138209514,0.139213347,0.5908783,0.187431915,0.28920829,0.221651194,0.257977621,0.36922217,0.338844014,0.214513003,0.218505049,0.209740876,0.208866071
500,0.50433186,0.204659471,0.226766895,0.225318421,0.351734792,0.22707211,0.217049748,0.251437522,0.220970882,0.244903958,0.36255411,0.469529795,0.164431774,0.192486998,0.189778516,0.317100719,0.184842602,0.178716455,0.210576991,0.187484456,0.211150245,0.32680645,0.53760554,0.246975966,0.270648895,0.266679322,0.398418847,0.273162665,0.261192754,0.292574524,0.264049807,0.285715059,0.398887632
750,0.636776955,0.240467649,0.288869529,0.271906148,0.339029375,0.291604409,0.268356171,0.247003676,0.263752966,0.273962647,0.389017302,0.598895434,0.195962828,0.244371412,0.221770676,0.292858936,0.246410909,0.226985365,0.20034975,0.219344062,0.223944836,0.341766281,0.681404192,0.288450153,0.335967717,0.319616759,0.386046725,0.341245036,0.31594636,0.290807305,0.310296675,0.324750052,0.43538799
1000,0.607959927,0.174861674,0.218524677,0.19344772,0.327880785,0.298155186,0.224777351,0.190864536,0.196685005,0.179393368,0.410148464,0.574137049,0.137500526,0.183725575,0.156491437,0.294104514,0.265897688,0.188222556,0.155522091,0.162927822,0.145944952,0.378247849,0.636652735,0.213728637,0.255389747,0.226535786,0.364395753,0.333053396,0.262030303,0.225724622,0.233671765,0.215600921,0.446245219
