i,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34
100,0.265595418,0.273480909,0.233932907,0.191931653,0.214227896,0.194032117,0.384776212,0.192191057,0.311439662,0.323943483,0.47090501,0.239484868,0.245221281,0.207458676,0.167001995,0.185734909,0.166907573,0.361290146,0.164685183,0.28437155,0.298193339,0.446235839,0.292318547,0.301060396,0.260150998,0.218777989,0.241465825,0.224219447,0.407108228,0.219826412,0.334572731,0.349504694,0.49621263
250,0.379955057,0.173187153,0.221733747,0.202355164,0.213341431,0.202324028,0.428099284,0.247749009,0.330617388,0.247088145,0.230112489,0.352410468,0.13945275,0.192882517,0.169675407,0.181521943,0.173031063,0.401575959,0.220838516,0.301235897,0.214519296,0.199539136,0.409363677,0.200626411,0.246686814,0.230651661,0.245988324,0.23078798,0.451770847,0.276943004,0.358655775,0.273430517,0.256634669
500,0.460834283,0.302097178,0.36374235,0.31467007,0.435019051,0.380440464,0.376858163,0.341387425,0.354676551,0.55683695,0.506307833,0.422523564,0.266295853,0.324581711,0.281445599,0.401920136,0.33870807,0.338919017,0.305121588,0.3154168,0.522093487,0.469862544,0.496855872,0.336493322,0.401817953,0.349519005,0.472466961,0.415483476,0.4069203,0.379692412,0.388668437,0.583349854,0.541977182
750,0.741338984,0.195931461,0.306189547,0.20098561,0.257191877,0.238276679,0.258888717,0.204916047,0.220127887,0.23813073,0.343596691,0.71147205,0.169982912,0.274196738,0.171182903,0.227862868,0.209495934,0.227560005,0.174942031,0.193362248,0.207256971,0.316010263,0.768581306,0.223553763,0.336813559,0.229167836,0.289267939,0.268980175,0.285472171,0.23227629,0.248051264,0.264745707,0.371276008
1000,0.480406873,0.276452186,0.393221174,0.310435681,0.532162744,0.419697529,0.313941622,0.288767287,0.292060357,0.324357269,0.52038561,0.430938393,0.226028071,0.348346838,0.266679538,0.49247178,0.372446365,0.262398861,0.236113229,0.239848461,0.276666766,0.469512696,0.524357497,0.321086656,0.436250662,0.354596823,0.573875795,0.463861994,0.356291055,0.328962763,0.334648855,0.369576021,0.564911722
