i,V2,V3,V4,V5,V6,V7
5,0.38156258,0.506388858,0.076760635,0.209474271,0.685778132,0.777303515
10,0.243355045,0.731796822,0.147270886,0.590089793,0.386077875,0.848843068
20,0.290749331,0.643445978,0.211562522,0.552845072,0.394608932,0.715632892
30,0.398180831,0.827639511,0.336465607,0.745868664,0.460017312,0.89240524
38,0.347934317,0.72687825,0.296498244,0.671236945,0.397762317,0.781389525
