"i","V2","V3","V4","V5","V6","V7"
5,0.354335283171245,0.881930255326926,0.0767539459967144,0.566100799068288,0.775499080293947,1.01208022876658
10,0.504694996133741,0.772623159568254,0.109343259529887,0.410918558959799,0.934964449635312,0.996670107530929
20,0.728621006200776,0.614758834750228,0.292060223766128,0.219035291195604,1.03038315346165,0.916814594297377
30,0.695251533558039,0.657812545500061,0.242112681748225,0.27520357275799,0.994443031367267,0.939232969990071
38,0.783612989998117,0.535727990114068,0.350612985178209,0.134228657360977,1.021714898476,0.889587708947918
5,0.379205276031777,0.877590878045813,0.070596232499745,0.655075475271794,0.766133540600164,1.00412190180753
10,0.497286573424449,0.735069683951238,0.107674179338834,0.288134989603218,0.952413210152223,0.986488793896609
20,0.790954538891586,0.538326742433738,0.519442898762922,0.236774781398546,1.02174721374127,0.867413534018326
30,0.751101296798348,0.586417398715484,0.417524743492194,0.264616990574683,1.01642618263574,0.903489462730234
38,0.840689129064857,0.473698459786254,0.563274210553398,0.199156323753614,1.01713591721669,0.813932026330857
5,0.459932108859198,0.666377568969466,0.0399429140730089,0.172562074753235,0.937808815624341,1.02212961130833
10,0.417783534259198,0.805302320900412,0.0769615908858109,0.408902789223838,0.855567359189734,1.02149266939515
20,0.779607165423678,0.540097678150223,0.341194228898344,0.147585688691877,0.986136772048841,0.939304696382316
30,0.76519589480232,0.543131070640166,0.320531019348341,0.133863234552199,0.986172649824461,0.953692768083027
38,0.775356786435802,0.538361944473,0.334864474805288,0.139396985888354,0.986799029746755,0.943603965050483
5,0.529737389946792,0.60439000215004,0.0420014939634889,0.108105545459903,0.994622355828238,1.0094797200705
10,0.459756020050506,0.784214851189991,0.0598070665576033,0.294898675294614,0.939075530821565,0.99808261333032
20,0.784814105618421,0.566313672142713,0.345597190796577,0.110112396942975,0.994248997980502,0.918107049216913
30,0.772281466437431,0.564919600049829,0.319501471176056,0.0927459588356315,0.998633342218152,0.921608447179235
38,0.781541540952473,0.56244262945059,0.332841934615679,0.102369154040803,0.996277233688161,0.920209542055055
