"k","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
0.005,0.237307504150339,0.959660627627645,0.145769606500338,0.145769606500338,0.220370784197926,0.947846428222255,0.126447180153425,0.126447180153425,0.250209710895668,0.970119961247623,0.160453705557111,0.160453705557111
0.01,0.138951878844455,1.02639357229095,0.0833555613082857,0.0833555613082857,0.125913385334958,1.01905711211479,0.0675680381179953,0.0675680381179953,0.148801783519507,1.03411847971213,0.0965753316386098,0.0965753316386098
0.02,0.377223717868888,0.861435421080639,0.0868219850456375,0.0868219850456375,0.367457791256659,0.852762772664148,0.0717972150263453,0.0717972150263453,0.393671576598242,0.870170138357525,0.105253493213191,0.105253493213191
0.05,0.502185802695871,0.768603092828429,0.217731593141945,0.217731593141945,0.489303916879724,0.759700122578668,0.201687685567453,0.201687685567453,0.512494808847963,0.777829064729803,0.228524639220394,0.228524639220394
0.1,0.515554603240658,0.969813856610777,0.308075498158418,0.308075498158418,0.496305970441571,0.943320487822974,0.282482036271153,0.282482036271153,0.543795570581983,0.994460341451818,0.336927520967771,0.336927520967771
0.15,0.551322444411698,0.9863258418582,0.397584247395341,0.397584247395341,0.519848742974566,0.948560686060762,0.362182900039174,0.362182900039174,0.601642163680167,1.02467253396124,0.455165844001622,0.455165844001622
0.2,0.603295537772117,1.02143378077685,0.51336449589992,0.51336449589992,0.570718841619101,0.986017088512305,0.460256876276675,0.460256876276675,0.647358292764821,1.05335580843762,0.573304895189433,0.573304895189433
0.25,0.598427979355208,1.05173138350179,0.567262731834641,0.567262731834641,0.554630333586386,0.982969064104578,0.509036572832545,0.509036572832545,0.661152860290044,1.09140813516696,0.651818864579654,0.651818864579654
0.3,0.692116640971553,1.17144229240951,0.66479219331217,0.66479219331217,0.524890931426022,0.986605508193024,0.491046234388507,0.491046234388507,0.820909805168249,1.30918414040988,0.813642116151338,0.813642116151338
