"k","V2","V3"
0.005,0.304890556510572,0.726744026858045
0.01,0.308308233424954,0.723611227723468
0.02,0.28764181708766,0.771913165411953
0.05,0.366637659789356,0.714471635088205
0.1,0.360173133787229,0.718036229027733
0.15,0.367886019423853,0.703568323742335
0.2,0.383833165939407,0.686164441764268
0.25,0.373187746971836,0.693323903926041
0.3,0.38541585091009,0.681271760186165
