"i","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
5,0.301647064143417,0.111671330910726,-0.00363096620078561,-0.00363096620078561,0.283389900067056,0.1028467408333,-0.0145538014750076,-0.0145538014750076,0.316703992935753,0.12369183407256,0.00915541878510257,0.00915541878510257
10,0.510041356873281,0.0461659560149383,-0.00540525703553147,-0.00540525703553147,0.487781714143353,0.0364648104447111,-0.0162611440395959,-0.0162611440395959,0.529116655022034,0.0583424259078194,0.008790585456903,0.008790585456903
20,0.600875803647341,0.0300239279685844,-0.00621326500904884,-0.00621326500904884,0.581561697562825,0.0195175683624094,-0.0180262882834767,-0.0180262882834767,0.616384322000873,0.0403034904508306,0.00364288913254934,0.00364288913254934
30,0.249044680947625,0.12464346049944,-0.00492703280481123,-0.00492703280481123,0.227528732245674,0.112934686371907,-0.0140275219929672,-0.0140275219929672,0.277194434670885,0.137848256368618,0.00216961485569033,0.00216961485569033
38,0.171927435459851,0.505917318052659,-0.00697396075601885,-0.00697396075601885,0.159131293699382,0.482270994436438,-0.0170430353726787,-0.0170430353726787,0.185652127902528,0.534895264319004,0.00293377915965691,0.00293377915965691
