"i","V2","V3","V4","V5"
5,0.00723584523829446,0.993228889306077,6.66661801885793e-05,6.66661801885793e-05
10,0.0525376124281624,0.979624337277794,6.66672041718108e-05,6.66672041718108e-05
20,0.708619048737474,0.288042810716247,6.66648412293025e-05,6.66648412293025e-05
30,0.465692818331026,0.532742654932114,6.66676731871929e-05,6.66676731871929e-05
38,0.281177328282048,0.746335221828282,6.66666190983767e-05,6.66666190983767e-05
