"i","V2","V3","V4","V5"
5,0.0170499928280743,0.536383547020325,0.0895826392879491,0.169214675345596
10,0.363652495365396,0.0988669971444105,0.447481058506236,0.0262185469685131
15,0.443560348628239,0.0714673901858484,0.37497777291137,0.0322175990249994
20,0.432255564320277,0.0547534611503926,0.427825976108099,0.0264384061147433
25,0.393641415224353,0.0355365263299231,0.462420845658197,0.00968970093192725
30,0.435945173018122,0.0452130774374995,0.447125853125617,0.0113197211920295
35,0.484081939711663,0.0106917016948936,0.414217473672932,0.0109980405758034
38,0.506895054178602,0.00769964266927381,0.404145695429358,0.00800139899621971
