"k","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
0.005,0.0870893427422112,0.70949428291393,-0.00682867708440387,-0.00682867708440387,0.084620596103434,0.704705946382241,-0.00929394767785026,-0.00929394767785026,0.0915267789556108,0.71612426026765,-0.00176156684145875,-0.00176156684145875
0.01,0.0998581837877325,0.690447502385154,-0.00502110283975035,-0.00502110283975035,0.0967369131304547,0.684066324592697,-0.00935400073410644,-0.00935400073410644,0.103088218423039,0.69761935187224,-0.000306290872174899,-0.000306290872174899
0.02,0.165701902717586,0.61225983063066,-0.00196375701404484,-0.00196375701404484,0.160350567080278,0.606442591914804,-0.00585099344903912,-0.00585099344903912,0.170393463923425,0.617311643029292,0.00256087688232753,0.00256087688232753
0.05,0.149494509892057,0.640048491705849,-0.00376689001638854,-0.00376689001638854,0.143977870025731,0.631474560723178,-0.00884430206192565,-0.00884430206192565,0.159213917863507,0.649865940437065,0.00424511895316699,0.00424511895316699
0.1,0.113325277251715,0.581286284409226,-0.00543687210635559,-0.00543687210635559,0.103303083524242,0.576482961710776,-0.013116088973883,-0.013116088973883,0.125723431147921,0.587385923757598,0.00582661574900154,0.00582661574900154
0.15,0.112322832354583,0.399699990222195,-0.00472051786032909,-0.00472051786032909,0.102049558697226,0.391633226736156,-0.0149500015626551,-0.0149500015626551,0.126391427286116,0.40784938026321,0.00815992369612684,0.00815992369612684
0.2,0.00123313825792931,0.558263794508212,0.000779523005291093,0.000779523005291093,-0.00640890554475824,0.544304572410939,-0.00658397875186869,-0.00658397875186869,0.0101900123652092,0.575749376605476,0.00960013933005168,0.00960013933005168
0.25,0.00148115837885616,0.453371784184124,0.00176696525200146,0.00176696525200146,-0.00867982298261035,0.435715025888448,-0.00752967161428713,-0.00752967161428713,0.00874205246897086,0.469099485001555,0.00791653811003411,0.00791653811003411
0.3,0.00295349758836025,0.409118374264288,-0.000163028065846817,-0.000163028065846817,-0.010414013376638,0.392812628525308,-0.0128997186351709,-0.0128997186351709,0.016068864454093,0.424863219866114,0.0122956607624359,0.0122956607624359
