"i","V2","V3"
5,0.886485017816775,0.196090314800439
10,0.334812362195745,0.776279475879168
20,0.129847618821551,0.926618908611996
30,0.21795808669327,0.836456463330233
38,0.350046453452977,0.698213760811646
