"i","V2","V3","V4","V5"
5,0.756052586821684,0.303867191619159,6.66629661121299e-05,6.66629661121299e-05
10,0.931234153294538,0.118606619804112,6.66689224841921e-05,6.66689224841921e-05
20,0.948056588355424,0.0539984052997377,6.66678104441765e-05,6.66678104441765e-05
30,0.680897680856601,0.318625763723666,6.66679169240014e-05,6.66679169240014e-05
38,0.268338949437801,0.718008564088926,6.66678118027564e-05,6.66678118027564e-05
