"i","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
5,-0.000923609486331072,0.897445911417934,-0.00320207656385182,-0.00320207656385182,-0.00585449905017736,0.888692657806349,-0.00853230063609842,-0.00853230063609842,0.00491599251991237,0.905087012118353,0.00173610265132584,0.00173610265132584
10,0.0129218751914269,0.859639815742174,-0.00554407331397024,-0.00554407331397024,0.00641995600482242,0.851764369073829,-0.0107663044284088,-0.0107663044284088,0.0179806466461233,0.86541137793787,-0.00103971908818716,-0.00103971908818716
20,0.878263671018253,0.00653028852777082,-0.0125904689498319,-0.0125904689498319,0.871301147752058,0.00110335367763704,-0.0184864285931852,-0.0184864285931852,0.886617648873301,0.012264851349386,-0.0066930635411474,-0.0066930635411474
30,0.384142809758154,0.441838065751931,-0.0112008537363503,-0.0112008537363503,0.375946853452613,0.432284840665219,-0.016613989942743,-0.016613989942743,0.395033118858384,0.455500472898289,-0.00188275403075153,-0.00188275403075153
38,0.197233917328717,0.551175265923008,-0.00755233545829514,-0.00755233545829514,0.187761323443111,0.534518460091598,-0.0145812285352295,-0.0145812285352295,0.208392723406788,0.574619943040613,0.0024920387129972,0.0024920387129972
