"k","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
0.005,0.400563683184261,0.743867459680814,0.15528836735394,0.15528836735394,0.382581772927239,0.735717044016517,0.129746897151886,0.129746897151886,0.420647141820351,0.751907076382888,0.178117952917333,0.178117952917333
0.01,0.436759471253021,0.796804164462081,0.240349716510841,0.240349716510841,0.411865932559466,0.787438366300991,0.209030193848909,0.209030193848909,0.453738280106026,0.804586998284041,0.26183149469967,0.26183149469967
0.02,0.457297840227193,0.839532448270896,0.29960740863395,0.29960740863395,0.444484178159619,0.828078656764962,0.285753895976707,0.285753895976707,0.470347280242075,0.853095001651647,0.31307867660993,0.31307867660993
0.05,0.585305013075738,0.808265563733102,0.406573238247629,0.406573238247629,0.579094290757636,0.801029476219571,0.396827192354506,0.396827192354506,0.593908934064145,0.823799615004376,0.416571112047795,0.416571112047795
0.1,0.715696958647695,0.821552986878285,0.546593372459536,0.546593372459536,0.707035894780358,0.81250674317521,0.536238386558004,0.536238386558004,0.723120372281873,0.832344874421426,0.558885520953319,0.558885520953319
0.15,0.784021704801503,0.845288765233706,0.636755538538056,0.636755538538056,0.779951912454774,0.839972873690481,0.628295103631392,0.628295103631392,0.789718778902,0.849574324030508,0.642051601862332,0.642051601862332
0.2,0.837528797402901,0.887316755439856,0.73336636556693,0.73336636556693,0.827819225484323,0.878365308897098,0.725449096767026,0.725449096767026,0.847107459443075,0.892621181079507,0.739081073797675,0.739081073797675
0.25,0.885398987420907,0.936357773716803,0.827135382556258,0.827135382556258,0.874458673995289,0.926698423882403,0.816073512501624,0.816073512501624,0.895593753900497,0.948661075274453,0.837692280971194,0.837692280971194
0.3,0.898606561321379,0.92628571224724,0.828368566554273,0.828368566554273,0.88700185171701,0.916495583180528,0.818655894981134,0.818655894981134,0.916726354642725,0.936859215005818,0.842066192840944,0.842066192840944
