"i","V2","V3","V4","V5","V6","V7"
5,0.80403146455323,0.108851843014772,0.80134461109842,0.104722099150273,0.809558774837772,0.113254123572404
10,0.30470159204414,0.539925843242428,0.298486380136919,0.532036121639232,0.311101632268508,0.54984824678926
20,0.106369331570775,0.812539289750097,0.102407037229692,0.809236885121259,0.110496919924269,0.816998359025525
30,0.187632441828414,0.739261378118537,0.184110633410592,0.736180866439884,0.190530313438194,0.742986541515102
38,0.225987877075379,0.677658751908149,0.222822228426776,0.674593905030685,0.229055725578593,0.681288267425985
