"i","V2","V3","V4","V5","V6","V7"
5,0.117780516012968,0.645939524404164,-0.00375965071104555,0.219676844833319,0.428117515294831,0.922186697070292
10,0.23215889196699,0.491971608660779,0.0326027363176563,0.0592182300700151,0.622926392616666,0.891576918275848
20,0.38578457237425,0.268002823050413,0.0857979057382214,-0.0215942866703557,0.781853471907525,0.708313802422286
30,0.34377387163203,0.301612371283613,0.0650853304889505,0.0134908910657222,0.721574961532011,0.759518575446233
38,0.463316744589248,0.213388689153223,0.12490904727463,-0.0178827001866768,0.867689377005943,0.646456409011515
5,0.125636633326205,0.621988679179414,0.00565571723688257,0.224854876768426,0.345058185037357,0.928896320130701
10,0.267610922942163,0.504790770092115,0.020412444864439,0.0347958495977769,0.716365906319184,0.890922950931475
20,0.461995046348602,0.21073516827011,0.130655527076462,-0.0188797738138908,0.7772872834124,0.473094673747923
30,0.414390743575794,0.250488342761439,0.0947660405164375,-0.0128177842918197,0.741007206736207,0.582956811422803
38,0.525994807438822,0.160702911534565,0.180661823409414,-0.0136780676638017,0.811247117969775,0.423156509884832
5,0.326524653648724,0.545273948143213,-0.00661310825085804,0.080964344470835,0.810890105200311,0.964580421357627
10,0.19266069348196,0.586077811725243,-0.0144514415963878,0.164527352342638,0.602595692526086,0.92234440717357
20,0.457791646706145,0.22342667429408,0.0844315703916401,0.0186320559377621,0.852088838533758,0.661114039597017
30,0.454677721479213,0.238075213844502,0.0685042508717413,0.0195567191961643,0.866829684055275,0.681715801698862
38,0.459465617791738,0.227781713008535,0.0794306249108875,0.0185703067020874,0.860677988272731,0.667565028404004
5,0.391673749961315,0.473748980672824,0.0195476963224308,0.0328450049102693,0.889230464324952,0.959194530136551
10,0.215209388011179,0.54264107734586,0.00810455874284572,0.105465794360614,0.720835219569283,0.941164508398586
20,0.431979478126239,0.215975634065512,0.0849499846866991,0.0165851865656385,0.891490821227839,0.65648777883694
30,0.433254632581849,0.228520597004218,0.081509980801407,0.017302221050692,0.907755017321673,0.688609237448182
38,0.435793630174173,0.219244939816576,0.0828466904750363,0.0159961344624315,0.899250049242121,0.669780022208832
