"i","V2","V3"
5,0.838792010967695,0.144275538222907
10,0.296247954456001,0.675368089038869
20,0.147780922275746,0.840685776335036
30,0.247808775626163,0.732011901794096
38,0.274827337104965,0.688472199780659
