"i","V2","V3","V4","V5","V6","V7"
5,0.947611469513063,0.240976245937731,0.926579396567183,0.222879476963853,0.969861869805972,0.260676480144856
10,0.417237768762831,0.721480060159652,0.401521900181948,0.707482610435887,0.430502449164008,0.733744359965587
20,0.214721245165265,0.883415160590491,0.203210807574918,0.873249704171963,0.223240308598066,0.891112546815259
30,0.311450892550284,0.785264897706004,0.302432815636204,0.776489471946782,0.31808397716305,0.791213754495906
38,0.364732244688121,0.75589298846803,0.354818242834842,0.746739876113796,0.372610729069431,0.762866761257507
