num_obs,V2,V3,V4,V5,V6,V7
5,0.304783981,0.398876013,0.295380491,0.382881262,0.3122434,0.413607552
10,0.114111087,0.598478961,0.106120953,0.591990119,0.119167772,0.605689566
15,0.167807513,0.51673859,0.157326455,0.501856159,0.179568464,0.528011852
20,0.22072992,0.605522771,0.214555886,0.596651474,0.225150925,0.613204285
25,0.229034801,0.529393068,0.225754657,0.522310541,0.233497629,0.537452452
30,0.207341233,0.55450534,0.196071926,0.550435572,0.215456026,0.56100153
35,0.215520544,0.559079255,0.210850842,0.546531007,0.222524426,0.567526145
39,0.194398565,0.594568201,0.190241421,0.587501666,0.196777862,0.603091825
