"i","V2","V3","V4","V5","V6","V7"
5,0.559680540593612,0.900324240553551,0.537141798649097,0.870617062020752,0.580214636149966,0.933460096650665
10,0.338830462149821,0.975520273693425,0.312520528182452,0.930240454356818,0.366878804427378,1.01559644283058
20,0.310541378618287,0.963458324356406,0.251617586583908,0.925043704260518,0.364060885365819,1.00225523415916
30,0.317206868217507,0.828776636585174,0.297320650225076,0.820116602030308,0.332673313430667,0.841443277114005
38,0.361066035538648,0.754236463191973,0.347194483687064,0.746901362676352,0.37285093588369,0.765337795242316
