"i","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
5,0.788502787897619,0.935871281372516,0.415931403518671,0.415931403518671,0.702260404484603,0.846796431671551,0.339444139924148,0.339444139924148,0.887524765817001,1.06019192813203,0.50042351257249,0.50042351257249
10,0.41389202097374,0.898261383860172,0.294988178350396,0.294988178350396,0.397303275205742,0.881578594643842,0.275573073855294,0.275573073855294,0.430521576685094,0.909323842136518,0.315544646643374,0.315544646643374
20,0.587062006746011,0.772131734659175,0.319890963757327,0.319890963757327,0.568813614838453,0.75249734341165,0.297559635053444,0.297559635053444,0.602483110975523,0.786878604070447,0.342328918924924,0.342328918924924
30,0.501686465255419,0.880164019806219,0.304102324770078,0.304102324770078,0.47968848764109,0.859502050083964,0.280831093829247,0.280831093829247,0.518321716616896,0.894410390576344,0.326002474404972,0.326002474404972
38,0.1390557947141,1.00025425887293,0.0862043060700528,0.0862043060700528,0.127125523359368,0.992817542171199,0.0732006133696565,0.0732006133696565,0.146508625889663,1.00820771524516,0.0937222801807354,0.0937222801807354
